user_id,allergy_id
1,1
2,3
3,6
4,1
5,1
6,6
7,1
8,5
9,3
10,5
11,5
12,6
13,4
14,3
15,2
16,5
17,6
18,3
19,4
20,3
21,4
22,1
23,4
24,4
25,2
26,3
27,1
28,1
29,1
30,3
31,2
32,5
33,6
34,6
35,3
36,3
37,3
38,6
39,6
40,5
41,4
42,2
43,5
44,3
45,3
46,3
47,3
48,5
49,3
50,2
51,1
52,2
53,5
54,2
55,6
56,1
57,3
58,4
59,5
60,4
61,1
62,4
63,5
64,4
65,5
66,1
67,3
68,2
69,4
70,2
71,4
72,5
73,4
74,1
75,1
76,1
77,1
78,2
79,6
80,1
81,3
82,1
83,3
84,5
85,3
86,3
87,5
88,3
89,2
90,4
91,1
92,3
93,4
94,6
95,5
96,6
97,6
98,1
99,5
100,7
101,8
102,9
103,10
104,11
105,12
106,7
107,8
108,9
109,10
110,11
111,12
112,7
113,8
114,9
115,10
116,11
117,12
118,7
119,8
120,9
121,10
122,11
123,12
124,7
125,8
126,9
127,10
128,11
129,12
130,7
131,8
132,9
133,10
134,11
135,12
136,7
137,8
138,9
139,10
140,11
141,12
142,7
143,8
144,9
145,10
146,11
147,12
148,7
149,8
150,9
151,10
152,11
153,12
154,7
155,8
156,9
157,10
158,11
159,12
160,7
161,8
162,9
163,10
164,11
165,12
166,7
167,8
168,9
169,10
170,11
171,12
172,7
173,8
174,9
175,10
176,11
177,12
178,7
179,8
180,9
181,10
182,11
183,12
184,7
185,8
186,9
187,10
188,11
189,12
190,7
191,8
192,9
193,10
194,11
195,12
196,7
197,8
198,9
199,10
200,11
201,12
202,7
203,8
204,9
205,10
206,11
207,12
208,7
209,8
210,9
211,10
212,11
213,12
214,7
215,8
216,7
217,8
218,9
219,10
220,11
221,12
222,7
223,8
224,9
225,10
226,11
227,12
228,7
229,8
230,9
231,10
232,11
233,12
234,7
235,8
236,9
237,10
238,11
239,12
240,7
241,8
242,9
243,10
244,11
245,12
246,7
247,8
248,9
249,10
250,11
251,Null
252,Null
253,Null
254,Null
255,Null
256,Null
257,Null
258,Null
259,Null
260,Null
261,Null
262,Null
263,Null
264,Null
265,Null
266,Null
267,Null
268,Null
269,Null
270,Null
271,Null
272,Null
273,Null
274,Null
275,Null
276,Null
277,Null
278,Null
279,Null
280,Null
281,Null
282,Null
283,Null
284,Null
285,Null
286,Null
287,Null
288,Null
289,Null
290,Null
291,Null
292,Null
293,Null
294,Null
295,Null
296,Null
297,Null
298,Null
299,Null
300,Null
301,Null
302,Null
303,Null
304,Null
305,Null
306,Null
307,Null
308,Null
309,Null
310,Null
311,Null
312,Null
313,Null
314,Null
315,Null
316,Null
317,Null
318,Null
319,Null
320,Null
321,Null
322,Null
323,Null
324,Null
325,Null
326,Null
327,Null
328,Null
329,Null
330,Null
331,Null
332,Null
333,Null
334,Null
335,Null
336,Null
337,Null
338,Null
339,Null
340,Null
341,Null
342,Null
343,Null
344,Null
345,Null
346,Null
347,Null
348,Null
349,Null
350,Null
351,Null
352,Null
353,Null
354,Null
355,Null
356,Null
357,Null
358,Null
359,Null
360,Null
361,Null
362,Null
363,Null
364,Null
365,Null
366,Null
367,Null
368,Null
369,Null
370,Null
371,Null
372,Null
373,Null
374,Null
375,Null
376,Null
377,Null
378,Null
379,Null
380,Null
381,Null
382,Null
383,Null
384,Null
385,Null
386,Null
387,Null
388,Null
389,Null
390,Null
391,Null
392,Null
393,Null
394,Null
395,Null
396,Null
397,Null
398,Null
399,Null
400,Null
401,Null
402,Null
403,Null
404,Null
405,Null
406,Null
407,Null
408,Null
409,Null
410,Null
411,Null
412,Null
413,Null
414,Null
415,Null
416,Null
417,Null
418,Null
419,Null
420,Null
421,Null
422,Null
423,Null
424,Null
425,Null
426,Null
427,Null
428,Null
429,Null
430,Null
431,Null
432,Null
433,Null
434,Null
435,Null
436,Null
437,Null
438,Null
439,Null
440,Null
441,Null
442,Null
443,Null
444,Null
445,Null
446,Null
447,Null
448,Null
449,Null
450,Null
451,Null
452,Null
453,Null
454,Null
455,Null
456,Null
457,Null
458,Null
459,Null
460,Null
461,Null
462,Null
463,Null
464,Null
465,Null
466,Null
467,Null
468,Null
469,Null
470,Null
471,Null
472,Null
473,Null
474,Null
475,Null
476,Null
477,Null
478,Null
479,Null
480,Null
481,Null
482,Null
483,Null
484,Null
485,Null
486,Null
487,Null
488,Null
489,Null
490,Null
491,Null
492,Null
493,Null
494,Null
495,Null
496,Null
497,Null
498,Null
499,Null
500,Null
